depth of borewell,Calculated depth,Avg time
y,x,  time
2.8,9.33156,1.38
2.8,8.93025,1.35
2.8,8.93025,1.35
3.7,8.02816,1.28
3.7,6.72329,1.61
3.7,6.0956,1.4
6.5,9.19681,1.37
6.5,9.19681,1.06
6.5,9.19681,2.14
43.89,277.83,7.34
43.89,277.83,7.62
43.89,277.83,7.27
6.85,17.82,2.13
6.85,17.82,1.8
6.85,17.82,1.77
6.05,16.23,2.18
6.05,16.23,2.02
6.05,16.23,1.05
3.3,5.96,1.12
3.3,5.96,1.11
3.3,5.96,1.08
8.7,21.609,2.45
8.7,21.609,1.93
8.7,21.609,1.93
9.6,51.12,2.35
9.6,51.12,3.97
9.6,51.12,3.38
28.6,121.03,2.9
28.6,121.03,5.46
28.6,121.03,6.55
6,48.62,3.59
6,48.62,2.71
6,48.62,3.17
60,51.43,2.74
60,51.43,3.75
24.5,383.73,7.31
24.5,383.73,9.03
24.5,383.73,10.22
34,176.4,6.24
34,176.4,7.22
34,176.4,4.54
10.8,55.17,2.35
10.8,55.17,4.05
10.8,55.17,3.11
11.4,124.96,4.52
11.4,124.96,4.17
11.4,124.96,6.48
23,46.78,3.02
23,46.78,3.13
23,46.78,3.34
9,34.41,2.47
9,34.41,2.91
9,34.41,2.57
6,37.32,3.02
6,37.32,2.68
6,37.32,2.58
26,73.008,3
26,73.008,4.05
26,73.008,4.54
8.9,51.75,3.07
8.9,51.75,3.26
8.9,51.75,3.43
9.5,37.59,3.14
9.5,37.59,2.99
9.5,37.59,2.18
10.6,436.65,9.77
10.6,436.65,9.94
10.6,436.65,8.33
13.4,32.36,2.2
13.4,32.36,2.83
13.4,32.36,2.68
10.4,78.79,3.71
10.4,78.79,4.98
10.4,78.79,3.35
16,308.91,7.94
80,820.47,14
80,820.47,11.89
80,820.47,12.945
100,311.25,7.71
100,311.25,8.24
100,311.25,7.975
41.7,211.5,6.51
41.7,211.5,5.2
41.7,211.5,8.01
87,1187.88,14.91
87,1187.88,15.04
87,1187.88,16.77
21,288.26,4.1
21,288.26,9.57
21,288.26,9.35
15,19.6,2
15,19.6,1.25
15,19.6,2.76
9.4,26.6,2.96
9.4,26.6,1.88
9.4,26.6,1.85
9.8,19.6,2.15
9.8,19.6,2.11
9.8,19.6,1.74
9.8,20.59,1.53
9.8,20.59,2.26
9.8,20.59,2.38
9.5,33.89,2.72
9.5,33.89,2.62
9.5,33.89,2.57
9.3,36.78,2.8
9.3,36.78,2.88
9.3,36.78,2.55
9.6,20.59,2.02
9.6,20.59,2.08
9.6,20.59,2.05
9.7,27.29,2.36
9.7,27.29,2.34
9.7,27.29,2.39
10,435.65,9.77
10,435.65,9.94
10,435.65,8.46
9.9,21,1.53
9.9,21,2.3
9.9,21,2.33
9.7,38.55,3.14
9.7,38.55,2.99
9.7,38.55,2.18
9.4,21.6,2.25
9.4,21.6,2.11
9.4,21.6,1.74
6.4,17.87,1.75
6.4,17.87,1.5
6.4,17.87,2.31
52.8,308.91,7.22
52.8,308.91,8.2
52.8,308.91,8.4
60,308.91,6.91
60,225.3,5.72
60,225.3,8.51
47,296.11,6.23
47,296.11,7.3
47,296.11,8.4
52,296.11,7.22
52,310.91,8.2
52,310.91,8.4
11,32.36,2.2
11,32.36,2.83
11,32.36,2.67
21,32.36,3.1
21,48.52,3.13
21,48.52,3.44
